English,Polish
kenneth,Kennetha
kat,kat
sensation,uczucie
ahhh,ahhh
5th,5.
increasing,wzrastaj¹cy
fugitive,zbieg
urban,miejski
visions,wizje
bathing,k¹pielowy
gregory,Grzegorz
delight,rozkosz
iot,internet rzeczy
genes,geny
boundaries,granice
caution,ostro¿noœæ
ellis,elis
strangled,uduszony
thorough,dok³adny
ike,ike
bites,uk¹szenia
nude,nagi
tidy,czysty
patricia,Patrycja
tate,tat
obligation,obowi¹zek
ari,ari
clearance,luz
reserved,skryty
nasa,nasa
spock,szopka
marion,Marion
this-,Ten-
reflect,odbijaæ
jammed,zaciêty
sleeve,rêkaw
classy,z klas¹
fag,papieros
angelo,anio³
bradley,Bradley
bananas,banany
ex-husband,by³y m¹¿
saints,œwiêci
longest,najd³u¿szy
confirmation,potwierdzenie
mushrooms,grzyby
cyrus,Cyrus
toni,toni
p.,P.
finals,egzaminy koñcowe
millionaire,milioner
adoption,przyjêcie
wired,przewodowy
comet,kometa
handing,wrêczanie
cheerful,weso³y
deb,Debata
acceptable,do przyjêcia
realistic,realistyczny
waits,czeka
sufficient,wystarczaj¹cy
cosmic,kosmiczny
nolan,Nolana
gabe,gabe
intellectual,intelektualny
we,My
vomit,wymiotowaæ
warmth,ciep³o
magnum,wielkie
associated,powi¹zany
alas,Niestety
engineers,in¿ynierowie
offend,obraziæ
overwhelming,przyt³aczaj¹cy
sherry,sherry
inherited,dziedziczny
antoine,Antoni
whooping,koklusz
scars,blizny
sheldon,Sheldon
purposes,cele
robbing,rabowanie
refrigerator,lodówka
instructor,instruktor
darrin,darin
moms,mamy
overtime,nadgodziny
percy,Percy’ego
laurel,laur
females,samice
sacrifices,ofiary
representing,reprezentuj¹cy
drift,dryf
ruthless,bezwzglêdny
a,A
po,po
arguments,argumenty
crappy,beznadziejne
musicians,muzycy
sidney,Sydney
depressing,przygnêbiaj¹cy
lasts,trwa
doom,los
milo,Milo
cant,¿argon
backpack,plecak
aisle,nawa
insulting,obraŸliwy
edition,wydanie
losses,straty
sh,cii
preacher,kaznodzieja
schmidt,schmidta
swinging,wahad³owy
managing,zarz¹dzaj¹cy
sinking,ton¹cy
lacey,koronkowy
casting,odlew
trials,próby
demonstrate,wykazaæ
diseases,choroby
beggar,¿ebrak
amounts,kwoty
traced,wyœledziæ
raven,kruk
activate,aktywowaæ
slapped,spoliczkowany
heroic,heroiczny
roar,ryk
queer,queer
uk,Wielka Brytania
matching,dopasowanie
trump,atut
resignation,rezygnacja
newton,niuton
sincerely,z powa¿aniem
stacy,Stacy
saul,Saul
madman,szaleniec
jenkins,Jenkins
poke,grzebaæ
spicy,pikantny
swap,zamieniaæ
programs,programy
sheer,zwyk³y
spaceship,statek kosmiczny
schultz,Schultz
blink,migaæ
steer,sterowaæ
males,mê¿czyŸni
injection,zastrzyk
know-,wiedzieæ-
ant,mrówka
reform,reforma
mother-in-law,teœciowa
properties,W³aœciwoœci
virtually,prawie
camps,obozy
tapping,stukaj¹cy
tequila,tequila
inquiry,zapytanie
fainted,zemdla³
formation,tworzenie
shields,tarcze
escaping,ucieczka
unemployed,bezrobotni
murdering,mordowanie
interviewed,wywiad
striking,uderzaj¹cy
vows,œluby
donovan,Donovan
antique,antyczny
il,il
sherlock,Sherlock
puke,rzygaæ
hysterical,histeryczny
taller,wy¿szy
employment,zatrudnienie
thats,to jest
agrees,zgadza siê
dodge,unik
unite,zjednoczyæ
mumbling,mamrocz¹cy
rabbits,króliki
repeating,powtórzenie
mule,mu³
locals,miejscowi
v.,w.
neighbourhood,s¹siedztwo
hayes,hej
bats,nietoperze
beliefs,wierzenia
spared,oszczêdzony
vegetable,warzywo
ch00ffff,ch00ffff
liv,¿yæ
bunker,bunkier
channels,kana³y
phenomenon,zjawisko
hips,biodra
grayson,Graysona
expelled,wydalony
camille,Kamil
languages,jêzyki
iv,do¿ylnie
premises,lokal
pronounce,wymawiaæ
ng,ng
bridges,mosty
ape,ma³pa
julius,juliusz
bruises,siniaki
convict,skazaæ
prettier,³adniejszy
elections,wybory
18th,18.
annoyed,zirytowany
hometown,rodzinne miasto
earrings,kolczyki
discreet,dyskretny
poured,nalany
morphine,morfina
henderson,Henderson
jun,cze
narrating,opowiadanie
rookie,rekrut
peanuts,orzeszki ziemne
camel,wielb³¹d
abe,abe
chewing,¿ucie
imagining,wyobra¿anie sobie
runner,biegacz
hyun,hyun
tomatoes,pomidory
sponsor,sponsor
fulfilled,spe³niony
probe,sonda
karate,karate
grease,smar
dinosaurs,dinozaury
rebellion,bunt
marta,Marta
lone,samotny
nan,niania
underestimate,zbagatelizowaæ
acres,w³oœci
carlton,Carlton
hacked,zhakowany
barber,fryzjer
mining,górnictwo
aged,w wieku
designs,projekty
preferred,preferowany
19th,19
onions,cebula
stray,zab³¹kany
void,pró¿nia
sixteen,szesnaœcie
slower,wolniej
hannibal,Hannibal
sabotage,sabota¿
rabbi,rabin
concerning,dotycz¹cy
dixon,Dixona
holt,hol
mannix,mannix
noted,znakomity
peterson,Petersona
dental,dentystyczny
obama,obama
squirrel,wiewiórka
committing,zobowi¹zanie siê
werewolf,wilko³ak
slipping,potkniêcie siê
mm-mm,mm-mm
matthews,Mateusz
explosions,eksplozje
seo,seo
russ,Russ
whitney,Whitney
ignoring,ignorowanie
infinite,nieskoñczony
cavalry,kawaleria
lam,ch³ostaæ
suzanne,suzanna
bomber,bombowiec
ruling,rz¹dz¹cy
boiling,wrzenie
needles,ig³y
semester,semestr
irrelevant,nieistotny
savior,Zbawiciel
veil,welon
tramp,tramp
roberto,Roberto
deepest,najg³êbszy
perfection,doskona³oœæ
shutting,zamykaj¹cy
iii,iii
tiffany,muœlin
mentor,mentor
branches,ga³êzie
enthusiasm,entuzjazm
arena,arena
listens,s³ucha
hardware,sprzêt komputerowy
greatly,bardzo
battalion,batalion
moustache,w¹sy
irresponsible,nieodpowiedzialny
audio,audio
ga,ga
initiative,inicjatywa
sweaty,spocony
noel,Noel
requests,upraszanie
distraction,roztargnienie
parrot,papuga
steed,rumak
entertaining,rozrywkowy
whipped,bita
proving,udowadniaæ
assaulted,zaatakowany
piggy,œwinka
pause,pauza
surviving,przetrwaæ
funding,finansowanie
dinosaur,dinozaur
acquaintance,znajomy
bedtime,pora snu
rail,kolej
rooster,kogut
cowards,tchórze
hastings,Hastings
container,pojemnik
lori,Lori
secured,zabezpieczony
tossed,rzucony
stripper,spychacz
s.,S.
steele,Steele
waving,falowanie
clamoring,wrzaskliwy
banker,bankier
bacteria,bakteria
indicates,wskazuje
assassination,zamach
yeah.,Tak.
starring,wystêpuj¹cy w rolach g³ównych
drawings,rysunki
cupboard,szafka
sanctuary,sanktuarium
surgical,chirurgiczny
pairs,pary
purely,czysto
temptation,pokusa
elderly,osoby starsze
geoffrey,Geoffrey
vibe,wibracja
profound,g³êboki
gong,gong
transformed,przekszta³cony
crop,przyci¹æ
21st,21.
detailed,szczegó³owy
scrap,skrawek
abigail,Abigail
careless,niedba³y
dove,go³¹b
sloppy,niechlujny
atlanta,Atlanta
hideous,ohydny
10th,10.
lizard,jaszczurka
separation,rozdzielenie
intern,sta¿ysta
tab,patka
psych,psych
ranks,szeregi
parish,parafialny
booty,³up
peasant,ch³op
squeal,pisk
oooh,ooch
comb,grzebieñ
bash,grzmotn¹æ
restored,przywrócony
platoon,pluton ¿o³nierzy
junkie,æpun
involves,obejmuje
rupert,rupert
norm,norma
carrier,przewoŸnik
fatty,t³uszczowy
difficulties,trudnoœci
producers,producenci
superb,wspania³y
tha,tak
candidates,kandydaci
summoned,wezwany
15th,15.
refuge,schronienie
righteous,sprawiedliwy
carolina,Karolina
onion,cebula
natasha,Natasza
pickup,ulec poprawie
spells,zaklêcia
wesley,wesleya
carrington,Carrington
armies,armie
seasons,pory roku
senor,senor
billie,Billie
specialty,specjalnoœæ
thirst,pragnienie
select,wybieraæ
rendezvous,spotkanie
smiled,uœmiechn¹³ siê
colorado,Kolorado
visa,wiza
spice,przyprawa
caller,goœæ
foods,¿ywnoœæ
rational,racjonalny
scottish,szkocki
cunning,podstêpny
grunt,chrz¹kniêcie
knot,wêze³
hairs,ow³osienie
payments,p³atnoœci
granddad,dziadunio
massacre,masakra
competitive,konkurencyjny
herb,ziele
mae,mam
immune,odporny
grenade,granat
regularly,regularnie
stakes,pula
kilos,kilogramy
monks,mnisi
70s,lata 70
gail,Gail
guinea,Gwinea
invent,wynaleŸæ
nursery,¿³obek
protein,bia³ko
elbow,³okieæ
keller,keller
clowns,klauni
thirteen,trzynaœcie
tattoos,tatua¿e
flown,lata³
mustard,musztarda
7th,7
terrace,taras
alter,zmieniaæ
franz,Franciszek
transportation,transport
what-,Co-
lens,obiektyw
alaska,Alaska
ha-ha-ha,ha-ha-ha
interference,ingerencja
freakin,cholera
wont,przyzwyczajenie
weep,p³akaæ
clive,Klif
mourning,¿a³oba
crooked,krzywy
trainer,trener
janitor,dozorca
gradually,stopniowo
immigration,imigracja
filth,brud
momma,mama
father-in-law,teœæ
jackass,osio³
cho,cho
reminder,przypomnienie
culprit,winowajca
gabrielle,Gabriella
innit,nie
magistrate,sêdzia
jasmine,jaœmin
m-,M-
womb,³ono
texting,SMS-y
injustice,niesprawiedliwoœæ
figuring,zastanawiaæ siê
fracture,z³amanie
insanity,niepoczytalnoœæ
peasants,ch³opi
blossom,kwiat
etc,itp
agony,agonia
sounding,sonda¿
oz,uncja
elementary,podstawowy
seized,schwytany
teaches,uczy
lovejoy,kocham radoœæ
phillips,Phillips
eighteen,osiemnaœcie
shack,buda
teen,nastolatek
definite,okreœlony
scrub,szorowaæ
ruler,linijka
mold,pleœñ
contents,zawartoœæ
bitten,ugryziony
antidote,antidotum
was-,by³-
saves,oszczêdza
bunk,³ó¿ko
thor,Thor
republican,republikañski
graveyard,cmentarz
attempts,próbowanie
poirot,Poirot-
aspect,aspekt
relate,odnieœæ siê
lemonade,lemoniada
flour,m¹ka
nypd,nowojorska
biology,biologia
dusty,zakurzony
felony,przestêpstwo
jax,jax
fundamental,podstawowy
jai,dzieñ dobry
successfully,skutecznie
potentially,potencjalnie
donnie,donnie
strangely,dziwnie
condoms,prezerwatywy
quantum,kwant
utter,zupe³ny
activated,aktywowany
installed,zainstalowany
interrupted,przerwany
er,eee
discharge,wypisaæ
devastated,zdewastowany
substitute,zast¹piæ
splash,pluœniêcie
julio,Julio
exile,wygnanie
aspirin,aspiryna
authentic,autentyczny
12th,12
summit,szczyt
beck,skinienie
addiction,uzale¿nienie
lent,po¿yczony
drone,warkot
involving,anga¿uj¹cy
boyfriends,ch³opaki
tango,tango
permanently,na sta³e
province,województwo
attempting,próbowaæ
deceived,oszukany
know,wiedzieæ
triangle,trójk¹t
skipped,pominiête
strawberry,truskawka
mirrors,lustra
self-defense,samoobrona
preston,preston
overwhelmed,przyt³oczony
swift,szybki
creeps,gêsia skórka
token,znak
temporarily,tymczasowo
poisonous,truj¹cy
heidi,heidi
diagnosis,diagnoza
ninth,dziewi¹ty
locations,lokalizacje
retrieve,odzyskaæ
robbers,rabusie
conclusions,wnioski
joanna,joanna
disabled,wy³¹czony
ira,ira
extension,rozszerzenie
lining,podk³ad
yuri,Jurij
hip-hop,hip-hop
freeman,obywatel
scoop,szufelka
merlin,Merlinie
bridget,Bridget
revving,o¿ywienie
transform,przekszta³caæ
shelby,Shelby
hospitality,goœcinnoœæ
brooks,strumyki
survey,ankieta
hunted,upolowany
cozy,przytulny
g.,G.
recommendation,zalecenie
providing,¿e
microphone,mikrofon
skeleton,szkielet
muslims,muzu³manie
toll,myto
reconsider,zrewidowaæ
creaks,skrzypi
extended,rozszerzony
spear,w³ócznia
overboard,za burtê
ai,sztuczna inteligencja
clinton,Clintonowie
petition,petycja
baggage,baga¿
scumbag,drañ
tribute,ho³d
weddings,wesela
facilities,udogodnienia
bangs,grzywka
claw,pazur
donation,darowizna
isabelle,izabela
traitors,zdrajcy
mei,ja
jasper,jaspis
borders,granice
australian,australijski
colby,Colby
boxer,bokser
whilst,podczas gdy
misfortune,nieszczêœcie
elaborate,wyszukany
sights,osobliwoœci miasta
maestro,maestro
mysteries,arkana
loosen,poluzowaæ
gifted,utalentowany
i--i,ja--ja
involvement,uwik³anie
affects,wp³ywa
summon,wezwaæ
sherman,Shermana
churchill,Churchilla
theresa,Teresa
solitary,samotny
wilderness,pustynia
baltimore,Baltimore
olympic,olimpijski
undo,anulowaæ
mechanism,mechanizm
vietnamese,wietnamski
vanish,znikaæ
dome,kopu³a
biting,szczypi¹cy
ronald,Ronald
texted,wys³a³em SMS-a
sage,sza³wia
yummy,pyszny
tactics,taktyka
slack,luŸny
snapped,warkn¹³
weekly,tygodnik
bushes,krzaki
grandparents,dziadkowie
like-,tak jak-
henri,Henryk
obtain,uzyskaæ
hart,jeleñ
flights,loty
adventures,przygody
hottest,najgorêtszy
grown-up,doros³y
eden,eden
mild,³agodny
dom,dom
fourteen,czternaœcie
smuggling,przemyt
blend,mieszanka
chancellor,kanclerz
biscuits,ciastka
gorilla,goryl
dynasty,dynastia
acquired,nabyty
businesses,biznesy
countless,niezliczony
fritz,fritz
brent,Brent
gardener,ogrodnik
barracks,koszary
flirt,flirt
cooks,kucharze
distorted,zniekszta³cony
carved,rzeŸbione
jumps,skoki
superhero,superbohater
forests,lasy
clapping,klaskanie
psychiatric,psychiatryczny
snuck,wkrad³ siê
roughly,mniej wiêcej
screamed,krzykn¹³
raja,rad¿a
disappearing,znikanie
establishment,ustanowienie
whales,wieloryby
lump,bry³a
dwarf,karze³
environmental,œrodowiskowy
mam,mamo
pint,pó³ kwarty
loading,za³adunek
diplomatic,dyplomatyczny
exclaims,wykrzykuje
context,kontekst
volunteered,zg³osi³ siê na ochotnika
risked,ryzykowa³
gangs,gangi
boost,zwiêkszyæ
fax,faks
dante,Dante
partial,czêœciowy
refusing,odmawianie
gaze,spojrzenie
rene,Rene
nuisance,niedogodnoœæ
terrorism,terroryzm
jerome,Hieronim
ungrateful,niewdziêczny
donate,podarowaæ
relieve,³agodziæ : uœmierzaæ
13th,13
grandchildren,wnuki
felicity,szczêœcie
maureen,Maureen
represented,reprezentowany
co,wspó³
neutral,neutralny
philippe,Filip
workin,Pracujê
steering,sterowniczy
rm,rm
presidential,prezydencki
rental,dzier¿awa
challenged,kwestionowane
julien,Julien
feeds,karmi
je,je
vegetarian,wegetariañski
teasing,przekomarzanie siê
surprisingly,zaskakuj¹co
iran,Iran
shrine,œwi¹tynia
automatically,automatycznie
timer,regulator czasowy
gasoline,benzyna
juliette,Julietta
scouts,harcerze
millie,Millie
google,Google’owaæ
dorm,sala sypialna
athlete,sportowiec
shiva,Œiwa
robber,bandyta
convent,klasztor
balloons,balony
crawford,Crawford
barb,kolec
enters,wchodzi
maps,mapy
meth,metamfetamina
ifyou,jeœli ty
fruits,owoce
colored,kolorowy
poppy,mak roœlina
metro,metro
clarke,Clarke'a
fernando,Fernando
scully,Scully
resolved,rozwi¹zany
sessions,sesje
conservative,konserwatywny
rates,stawki
forged,podrobiony
legends,legendy
arrows,strza³ki
charley,Charley
dismiss,odrzucaæ
authorized,upowa¿niony
slavery,niewolnictwo
attended,uczêszczany
flows,p³ynie
employed,zatrudniony
decorated,ozdobiony
parallel,równoleg³y
detected,wykryty
grove,gaj
coverage,zasiêg
hen,kura
pyramid,piramida
overall,Ogólnie
hum,szum
specially,specjalnie
rebuild,odbudowaæ
exclaiming,wykrzykuj¹c
producing,produkowaæ
sewing,szycie
occasions,okazje
boards,deski
trumpet,tr¹bka
yes.,Tak.
shaped,ukszta³towany
matched,dopasowane
daughter-in-law,synowa
ammo,amunicja
typing,pisanie na maszynie
macgyver,MacGyver
blades,ostrza
thailand,Tajlandia
becca,Becca
wo,wo
debris,gruz
luca,Luca
cement,cement
hamlet,ma³a wioska
nat,nat
communists,komuniœci
showers,prysznice
tougher,twardszy
sailors,marynarze
kitt,kotek
comedian,komik
harassment,molestowanie
missus,panienko
monitoring,monitorowanie
smashing,druzgoc¹cy
shaved,ogolony
inventory,spis
housekeeper,gospodyni domowa
tribes,plemiona
long-term,d³ugofalowy
vile,pod³y
gotham,Gotham
imaginary,wyimaginowany
artillery,artyleria
ping,œwist
cereal,zbo¿e
zoom,brzêczenie
portion,czêœæ
irony,ironia
14th,14
exceptional,wyj¹tkowy
slit,szczelina
ss,SS
despise,pogardzaæ
waltz,walc
humour,humor
crashes,awarie
gu,gu
stammering,j¹kaj¹cy siê
coaches,trenerzy
joo,joo
await,czekaæ na
bryan,Bryan
celebrated,s³ynny
encouraged,zachêca³
devils,diab³y
gag,knebel
telescope,teleskop
verse,werset
stalin,stalina
e-mails,e-maile
iet,tj
babysitter,opiekunka do dziecka
pr,pr
distinguished,wybitny
licence,licencja
addicted,uzale¿niony
bauer,bauer
speeches,przemówienia
wit,dowcip
programmed,zaprogramowany
bliss,rozkosz
donny,Donny
elsa,Elza
com,kom
recorder,rejestrator
hides,ukrywa
shameless,bezwstydny
apartments,mieszkanie
tipped,przechylony
turf,darñ
tang,posmak
tu,tu
discharged,zwolniony
psychologist,psycholog
duh,hm
delete,usuwaæ
jock,sportowiec
wrath,gniew
estimate,oszacowaæ
tutor,korepetytor
jurisdiction,jurysdykcja
impulse,impuls
penguin,pingwin
tubes,rurki
playground,plac gier i zabaw
sew,szyæ
nickel,nikiel
claws,pazury
giants,giganty
daring,œmia³y
posters,plakaty
peacefully,spokojnie
rag,szmata
caves,jaskinie
nikita,Nikita
stern,rufowy
condolences,kondolencje
ohhh,och
dearly,drogo
humiliation,upokorzenie
worldwide,na ca³ym œwiecie
cartoon,rysunek
disrespect,brak szacunku
so-,Wiêc-
shhh,ciii
underworld,mêt
marble,marmur
lilly,lilly
chun,Chun
curly,krêcony
judged,os¹dzony
bidding,licytacja
erased,wymazany
confuse,pomyliæ
masterpiece,arcydzie³o
pentagon,piêciok¹t
oppa,opppa
tow,holowniczy
seduce,uwieœæ
bathtub,wanna
pets,zwierzêta
bricks,ceg³y
goa,go
hotter,cieplej
regime,re¿im
contempt,pogarda
batch,seria
m-i,mi
ramsay,Ramsay
speeding,przyœpieszenie
compartment,przedzia³
tackle,przybory
wage,p³aca
shines,œwieci
lifting,podnoszenie
hustle,gwar
inmates,wiêŸniowie
km,km
psst,psst
scooter,skuter
relatively,stosunkowo
stoned,naæpany
supernatural,nadprzyrodzony
darwin,Darwin
viewers,widzów
lorenzo,Lorenzo
treasures,skarby
yankee,Jankes
lang,jêzyk
taco,taco
charts,wykresy
brigade,brygada
bankrupt,bankrut
marianne,Marianna
bikes,rowery
lookout,punkt widokowy
merchandise,towar
slippery,œliski
duchess,ksiê¿na
gulf,przepaœæ
foam,piana
steals,kradnie
numerous,liczny
ripping,przybierka
trusts,ufa
flock,trzoda
potion,napój
fiance,narzeczony
glimpse,dojrzeæ
invincible,niezwyciê¿ony
compensation,odszkodowanie
kettle,czajnik
stroll,spacer
trish,Trishy
brendan,Brendana
cafeteria,kawiarnia
sane,rozs¹dny
currency,waluta
amsterdam,Amsterdam
radius,promieñ
verify,zweryfikowaæ
founded,za³o¿ony
medic,lekarski
peek,zerkaæ
sewer,kana³ œciekowy
vernon,Vernon
callie,Callie
bbc,BBC
hull,kad³ub
solomon,Salomon
madonna,Madonna
toad,ropucha
powell,Powell
maxwell,makswell
moose,³oœ
souvenir,pami¹tka
stitch,œcieg
compass,kompas
mercury,rtêæ
locking,zamykaj¹cy
edwards,Edwards
frederick,Fryderyk
dislike,nie lubiæ
stu,stu
rib,¿ebro
pamela,Pamela
brace,klamra
ban,zakaz
gracias,gratki
stitches,szwy
thrust,pchniêcie
referred,o których mowa
achievement,osi¹gniêcie
links,spinki do mankietów
denying,zaprzeczanie
monastery,klasztor
newly,nowo
impatient,niecierpliwy
recruit,rekrut
sunk,zatopiony
ignorance,ignorancja
drugged,odurzony
predicted,przewidywane
floyd,floyd
creator,twórca
mississippi,Missisipi
civilized,cywilizowany
artery,têtnica
dynamic,dynamiczny
competing,konkuruj¹ce
buffy,buffy
distribution,dystrybucja
turk,Turek
voiceover,lektor
stereo,stereofoniczny
ethel,Etel
ark,arka
carpenter,stolarz
it.,To.
warner,warner
industries,bran¿e
melted,stopiony
upsetting,denerwuj¹ce
cruz,Cruz
labs,laboratoria
bluff,urwisko
bender,giêtarka
unbearable,nie do zniesienia
narcotics,narkotyki
juicy,soczysty
eerie,niesamowity
ingrid,wtr¹caæ
mwah,mwah
slippers,kapcie
freaky,dziwaczny
vip,VIP-y
troop,stado
footprints,œlady
dani,dani
pact,pakt
apparent,pozorny
repeated,powtarzaj¹cy siê
foreigner,cudzoziemiec
feelin,czujê
journalists,dziennikarze
employer,pracodawca
penelope,Penelopa
grim,ponury
medieval,œredniowieczny
damien,Damian
frustrating,denerwuj¹cy
rehearse,odbywaæ próby
travelled,bywa³y
preparation,przygotowanie
microwave,mikrofalowy
denial,odmowa
flute,flet
juvenile,nieletni
paddy,ry¿ nie³uskany
retarded,niedorozwiniêty
memo,notatka
canvas,p³ótno
fa,fa
and-and,i-i
symbols,symbolika
mccoy,mccoy
daly,Dale
driveway,podjazd
funky,tchórzliwy
kitten,kotek
nicest,najmilszy
deceive,zwodziæ
negro,Murzyn
chopped,krojony
consultant,konsultant
rifles,karabiny
heating,ogrzewanie
rays,promienie
architecture,architektura
gideon,Gideon
butch,lesbijka
warmer,grza³ka
contribution,sk³adka
advisor,doradca
peoples,ludzie
groceries,artyku³y spo¿ywcze
behaved,zachowywa³ siê
experiencing,doœwiadczaæ
y?u,ty
